identifier,group,oligomeric_state,lca_phylum,lca_class,lca_order,length
A0A8D0BUW4_IPR045860_1_33-147,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0A8D0D312_IPR016054_1_18-111,Ly6,multimere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A8D8DGH6_IPR016054_1_21-111,Ly6,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A8D8QDV9_IPR045860_1_75-173,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A8I6SJ55_IPR045860_1_27-118,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),72-95
A0A8J1JUU1_IPR016054_1_14-94,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1LDG8_IPR016054_1_134-230,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),95-117
A0A8J2S3F8_IPR045860_1_25-109,Ly6,monomere,Arthropoda (phylum),Branchiopoda (class),Diplostraca (order),72-95
A0A8J4XFA7_IPR016054_1_2-91,Ly6,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A8J6A9M2_IPR045860_1_18-99,Ly6,monomere,Chordata (phylum),Mammalia (class),Eulipotyphla (order),72-95
A0A8J6DP14_IPR016054_2_515-587,Ly6,multimere,Chordata (phylum),Mammalia (class),Eulipotyphla (order),72-95
A0A8J6EJ08_IPR016054_1_208-295,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8K0EQT5_IPR045860_1_18-102,none,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),72-95
A0A8R1DLU3_IPR045860_1_69-174,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A8R1Y956_IPR045860_1_11-86,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A8R2NJM7_IPR045860_1_18-118,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A8S1FAV3_IPR045860_1_60-161,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A8S3RAG3_IPR045860_1_14-86,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8S3T3W9_IPR045860_1_33-92,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),50-72
A0A8S4NHU4_IPR045860_1_13-75,none,monomere,Annelida (phylum),Polychaeta (class),Sabellida (order),50-72
A0A8T0AYF3_IPR045860_1_59-138,Ly6,multimere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A8T2IQ79_IPR045860_2_8-94,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8T2JDC4_IPR045860_1_2-69,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0A8T2NJQ5_IPR045860_1_28-107,none,monomere,Chordata (phylum),Actinopteri (class),Albuliformes (order),72-95
A0A8X8BYS0_IPR016054_2_66-157,Ly6,multimere,Chordata (phylum),Cladistia (class),Polypteriformes (order),72-95
A0A913X4U2_IPR045860_1_17-100,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A913ZNT4_IPR045860_1_22-105,none,monomere,Echinodermata (phylum),Asteroidea (class),Valvatida (order),72-95
A0A914C3M5_IPR045860_1_17-101,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914EPC2_IPR045860_1_13-105,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914ITD3_IPR045860_1_469-533,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A914UKU9_IPR045860_1_20-106,none,monomere,Nematoda (phylum),Chromadorea (class),Plectida (order),72-95
A0A914X7E3_IPR045860_1_63-167,none,monomere,Nematoda (phylum),Chromadorea (class),Plectida (order),95-117
A0A915CN24_IPR045860_1_27-110,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A974CHI4_IPR045860_2_6-89,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A974CJ28_IPR045860_2_52-133,mixture,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A974HD63_IPR045860_2_94-180,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A9B0TW17_IPR045860_2_20-97,mixture,multimere,Chordata (phylum),Mammalia (class),Afrosoricida (order),72-95
A0A9D3NLE4_IPR045860_1_18-92,mixture,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A9D3T627_IPR045860_1_31-107,none,monomere,Chordata (phylum),Actinopteri (class),Elopomorpha (clade),72-95
A0A9D3XGJ7_IPR016054_2_24-105,Ly6,multimere,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A9D4I5S4_IPR045860_1_159-238,none,multimere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9D4M313_IPR045860_1_44-151,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),95-117
A0A9J6CFC3_IPR045860_1_57-138,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A9N7UYS3_IPR045860_1_29-120,Ly6,mixture,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),72-95
A0A9N9SDS8_IPR045860_1_73-169,mixture,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9P0CEX3_IPR045860_1_22-108,Quiver,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9Q0MVE1_IPR045860_1_23-117,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A9Q0X7A5_IPR045860_1_65-145,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9Q0YG57_IPR016054_1_228-322,none,multimere,Echinodermata (phylum),Holothuroidea (class),Aspidochirotida (order),72-95
A0A9Q1B4N3_IPR045860_1_1-65,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A9Q1ER52_IPR016054_2_111-194,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anguilliformes (order),72-95
A0A9W2XCH4_IPR016054_2_18-109,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),72-95
A0A9W3EDU3_IPR016054_2_41-132,mixture,mixture,Chordata (phylum),Mammalia (class),Artiodactyla (order),72-95
A0A9W7WVG5_IPR045860_3_18-107,none,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A9W9YS50_IPR045860_1_47-137,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A9X0A5A5_IPR045860_1_18-117,Ly6,multimere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),95-117
A0A9X0CD38_IPR045860_1_11-104,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A9X6NP90_IPR045860_1_23-123,none,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),95-117
A0AA35KMS6_IPR045860_1_113-194,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA35KP03_IPR045860_2_78-160,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA35PAH8_IPR045860_1_37-127,none,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA36CR03_IPR045860_1_114-190,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AA36GTU1_IPR045860_1_18-99,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AA36M524_IPR045860_1_18-88,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0AA40LGW4_IPR045860_1_103-152,none,monomere,Chordata (phylum),Mammalia (class),Laurasiatheria (superorder),50-72
A0AA41SX92_IPR016054_5_304-383,Ly6,multimere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0AA47N6K2_IPR045860_2_165-247,none,multimere,Chordata (phylum),Actinopteri (class),Gadiformes (order),72-95
A0AA88LV75_IPR016054_1_22-100,Ly6,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0AA88P7J8_IPR016054_1_20-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AA97JB89_IPR016054_1_25-108,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA97KF09_IPR045860_2_20-110,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA97LHD6_IPR016054_2_25-123,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0AAD1SXL5_IPR045860_1_21-82,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0AAD1TA13_IPR045860_1_11-72,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0AAD1WR25_IPR045860_1_113-200,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD3R8Z7_IPR045860_1_19-81,mixture,mixture,Chordata (phylum),Actinopteri (class),Centropomidae (family),50-72
A0AAD4YB02_IPR045860_2_49-104,none,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0AAD5FK22_IPR016054_1_22-106,none,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0AAD8BC96_IPR045860_1_2-98,Ly6,monomere,Mollusca (phylum),Gastropoda (class),Planorbidae (family),95-117
A0AAD8EHZ4_IPR045860_1_1-66,none,monomere,Arthropoda (phylum),Insecta (class),Blattodea (order),50-72
A0AAD8GEX4_IPR016054_1_21-109,Ly6,monomere,Chordata (phylum),Actinopteri (class),Acipenseriformes (order),72-95
A0AAD9J8U3_IPR045860_1_30-106,none,multimere,Annelida (phylum),Polychaeta (class),Terebellida (order),72-95
A0AAD9N1G1_IPR045860_1_30-127,none,monomere,Annelida (phylum),Polychaeta (class),Terebellida (order),95-117
A0AAD9QPL6_IPR045860_1_44-133,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AAD9V760_IPR045860_1_19-116,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),95-117
A0AAE0YVN5_IPR045860_1_25-110,mixture,monomere,Mollusca (phylum),Gastropoda (class),Plakobranchidae (family),72-95
A0AAF3EK38_IPR045860_1_584-660,none,multimere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAF3J618_IPR045860_1_16-105,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAJ6ZQI6_IPR045860_1_29-136,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0AAN4ZEY9_IPR045860_1_21-99,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN5D9D3_IPR045860_1_41-124,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN8KJZ9_IPR045860_1_17-77,none,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),50-72
A0AAN8M3L1_IPR016054_2_121-207,mixture,mixture,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0AAN9A8J7_IPR031424_1_8-104,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),95-117
A0AAN9DKB0_IPR045860_1_19-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AAQ4D8Y8_IPR045860_1_62-154,none,monomere,Arthropoda (phylum),Arachnida (class),Ixodida (order),72-95
A0AAU7YDW8_IPR045860_1_55-129,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAU9XJY0_IPR045860_1_18-99,mixture,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AAU9ZI86_IPR045860_1_60-109,none,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),50-72
A0AAV2H9Z4_IPR045860_1_24-111,none,monomere,Mollusca (phylum),Gastropoda (class),Lymnaeidae (family),72-95
A0AAV2KTW0_IPR045860_1_114-182,Ly6,multimere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),50-72
A0AAV2MDG4_IPR016054_4_34-124,Ly6,multimere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),72-95
A0AAV2R7M7_IPR045860_1_94-202,none,monomere,Arthropoda (phylum),Malacostraca (class),Euphausiacea (order),95-117
A0AAV2ZIV7_IPR045860_1_114-193,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV2ZW77_IPR016054_2_2-95,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV4H4Z9_IPR045860_1_122-193,none,monomere,Mollusca (phylum),Gastropoda (class),Plakobranchidae (family),50-72
A0AAV5STT1_IPR045860_1_23-86,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0AAV5WF95_IPR045860_1_62-122,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0AAV6G0U9_IPR045860_1_25-101,none,monomere,Chordata (phylum),Actinopteri (class),Otomorpha (cohort),72-95
A0AAV6Z2I9_IPR045860_1_17-104,SPF,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV6ZI86_IPR045860_1_18-103,SPF,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV6ZN42_IPR045860_2_16-100,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV6ZUX7_IPR045860_1_20-105,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV7PZP9_IPR045860_1_19-104,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0AAV7Q439_IPR016054_2_27-123,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),95-117
A0AAV7V326_IPR045860_1_16-126,none,monomere,Chordata (phylum),Amphibia (class),Caudata (order),95-117
A0AAV8VMR3_IPR045860_1_22-100,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0AAW0NK07_IPR045860_1_19-91,none,monomere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),72-95
A0AAW0SMM9_IPR045860_1_22-116,Ly6,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),95-117
A0AAW0Y435_IPR045860_1_17-114,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),95-117
A0AAW1AY60_IPR045860_3_110-202,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AAW1DVH9_IPR045860_1_16-105,mixture,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0AAW1F7L9_IPR045860_1_19-88,mixture,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),50-72
A0AAW1TNY0_IPR045860_1_27-126,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0AAW1URC3_IPR045860_1_18-105,mixture,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0AAW1Z0Z3_IPR016054_1_20-107,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AAW2AZM0_IPR045860_1_43-115,mixture,mixture,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0ABC9XRS3_IPR045860_1_195-271,Ly6,multimere,Chordata (phylum),Aves (class),Gruiformes (order),72-95
A0ABD0P4M1_IPR045860_1_21-80,none,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),50-72
A0ABD2FW86_IPR045860_1_16-89,none,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0ABD2IWJ0_IPR045860_1_17-97,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0ABD2NUY2_IPR045860_1_18-107,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0ABD3XLM2_IPR045860_1_43-126,none,monomere,Mollusca (phylum),Bivalvia (class),Unionida (order),72-95
A6J8Z1_IPR045860_1_64-122,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),50-72
A6MFK5_IPR045860_1_13-88,mixture,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A7SMG5_IPR045860_1_18-104,none,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A7X3S5_IPR045860_1_17-92,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
C3Z070_IPR045860_2_49-117,none,multimere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),50-72
E2BEJ9_IPR045860_1_33-138,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
E7F0J8_IPR016054_2_111-198,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
F7FAA3_IPR045860_1_43-126,none,mixture,Chordata (phylum),Mammalia (class),Boreoeutheria (clade),72-95
G1KPQ7_IPR045860_1_26-141,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
G8G8Z9_IPR045860_1_10-78,Ly6,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),50-72
G9L2A8_IPR051445_1_1-143,Ly6,monomere,Chordata (phylum),Mammalia (class),Carnivora (order),117-140
H0XW29_IPR016054_1_66-153,Ly6,monomere,Chordata (phylum),Mammalia (class),Primates (order),72-95
H2LD22_IPR045860_1_10-75,Ly6,monomere,Chordata (phylum),Actinopteri (class),Beloniformes (order),50-72
H3DC81_IPR045860_1_28-107,none,monomere,Chordata (phylum),Actinopteri (class),Tetraodontiformes (order),72-95
J3SBY7_IPR016054_1_25-105,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
K7GBT3_IPR045860_2_16-105,mixture,multimere,Chordata (phylum),Testudines (order),Testudines (order),72-95
L7MDV5_IPR045860_1_79-181,none,monomere,Arthropoda (phylum),Arachnida (class),Ixodida (order),95-117
M0R0Y4_IPR045860_1_4-143,Ly6,monomere,Chordata (phylum),Mammalia (class),Primates (order),140-162
M7APV6_IPR016054_1_101-186,Ly6,monomere,Chordata (phylum),Testudines (order),Testudines (order),72-95
M7CD91_IPR045860_1_34-116,Ly6,monomere,Chordata (phylum),Testudines (order),Testudines (order),72-95
P01412_IPR045860_1_22-83,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
P19003_IPR045860_1_1-63,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
P25682_IPR045860_1_1-63,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
P83490_IPR045860_1_1-77,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
Q4FAH5_IPR016054_2_20-112,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
Q8R0H4_IPR016054_2_118-201,Ly6,multimere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
R4G332_IPR045860_1_12-79,mixture,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
R7U2M3_IPR045860_1_23-103,Ly6,monomere,Annelida (phylum),Polychaeta (class),Capitellidae (family),72-95
S4RP23_IPR045860_1_1-76,none,monomere,Chordata (phylum),Hyperoartia (class),Petromyzontiformes (order),72-95
T1DJP3_IPR016054_2_119-171,mixture,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
T1ILG0_IPR045860_1_12-69,none,monomere,Arthropoda (phylum),Chilopoda (class),Geophilomorpha (order),50-72
T1KUW8_IPR045860_1_6-87,none,monomere,Arthropoda (phylum),Arachnida (class),Trombidiformes (order),72-95
V8N212_IPR045860_1_1-80,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
V9LCY6_IPR016054_2_102-190,Ly6,multimere,Chordata (phylum),Chondrichthyes (class),Chimaeriformes (order),72-95
W5NPQ3_IPR045860_2_24-111,Ly6,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),72-95
W6NB34_IPR045860_1_11-84,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A8C9PBD2_IPR026524_1_19-97,none,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0AA97JA18_IPR026524_1_24-312,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),275-297
A0A067RGE3_IPR031424_1_29-121,none,monomere,Arthropoda (phylum),Insecta (class),Blattodea (order),72-95
A0A183JHQ5_IPR031424_1_21-73,none,monomere,Platyhelminthes (phylum),Trematoda (class),Strigeidida (order),50-72
A0A1D1UK01_IPR031424_1_39-136,none,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),95-117
A0A1D2NLW9_IPR031424_1_23-153,Quiver,monomere,Arthropoda (phylum),Collembola (class),Entomobryomorpha (order),117-140
A0A1J1HK20_IPR031424_1_20-116,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A1S3I1R1_IPR031424_1_26-110,Quiver,monomere,Brachiopoda (phylum),Lingulata (class),Lingulida (order),72-95
A0A1W0WFV8_IPR031424_1_22-108,Quiver,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),72-95
A0A1Y0F494_IPR031424_1_43-138,Ly6,monomere,Arthropoda (phylum),Insecta (class),Orthoptera (order),95-117
A0A226CYR9_IPR031424_1_30-115,none,monomere,Arthropoda (phylum),Collembola (class),Entomobryomorpha (order),72-95
A0A2R2MNG7_IPR016054_1_21-114,Ly6,monomere,Brachiopoda (phylum),Lingulata (class),Lingulida (order),72-95
A0A443SM47_IPR031424_1_20-82,none,monomere,Arthropoda (phylum),Arachnida (class),Trombidiformes (order),50-72
A0A553PQ88_IPR031424_1_65-138,none,monomere,Arthropoda (phylum),Hexanauplia (class),Harpacticoida (order),72-95
A0A5N5TH56_IPR031424_1_61-135,none,monomere,Arthropoda (phylum),Malacostraca (class),Isopoda (order),72-95
A0A6A4JC18_IPR031424_1_21-115,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A6G1SMF5_IPR031424_1_80-201,Quiver,monomere,Arthropoda (phylum),Arachnida (class),Trombidiformes (order),117-140
A0A6J2Y798_IPR031424_1_21-116,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A6L2Q858_IPR031424_1_3-125,none,monomere,Arthropoda (phylum),Insecta (class),Blattodea (order),117-140
A0A7F5R0I9_IPR031424_1_80-167,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A7J7JE89_IPR031424_1_23-114,none,monomere,Bryozoa (phylum),Gymnolaemata (class),Cheilostomatida (order),72-95
A0A7R8UFD8_IPR031424_1_29-147,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),117-140
A0A814REP6_IPR031424_1_35-84,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A834R5Q1_IPR031424_1_86-178,none,monomere,Arthropoda (phylum),Arachnida (class),Sarcoptiformes (order),72-95
A0A8B7P3J3_IPR031424_1_31-143,none,monomere,Arthropoda (phylum),Malacostraca (class),Eumalacostraca (subclass),95-117
A0A8I6RMI4_IPR031424_1_20-124,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),95-117
A0A8J9UHD8_IPR031424_1_11-122,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0A8S1DMD2_IPR031424_1_31-140,none,monomere,Arthropoda (phylum),Insecta (class),Ephemeroptera (order),95-117
A0A915BXX1_IPR031424_1_23-121,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A9P0JQD5_IPR031424_1_24-109,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9X6NDI2_IPR031424_1_23-110,mixture,monomere,Tardigrada (phylum),Eutardigrada (class),Parachela (order),72-95
A0AAD8EN74_IPR031424_1_25-127,none,monomere,Arthropoda (phylum),Insecta (class),Blattodea (order),95-117
A0AAE0S332_IPR031424_1_31-117,Quiver,monomere,Mollusca (phylum),Bivalvia (class),Unionida (order),72-95
A0AAN5CP02_IPR031424_1_16-103,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN8K0C4_IPR031424_1_16-102,Quiver,monomere,Mollusca (phylum),Gastropoda (class),Patellidae (family),72-95
A0AAV4UGB8_IPR031424_1_28-116,mixture,monomere,Arthropoda (phylum),Arachnida (class),Araneae (order),72-95
A0AAW0VUI4_IPR031424_1_3-92,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),72-95
R7VC07_IPR031424_1_31-117,Quiver,monomere,Annelida (phylum),Polychaeta (class),Capitellidae (family),72-95
U4UNT0_IPR031424_1_25-130,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0A8B6CMS2_IPR035076_1_23-72,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),50-72
A0AA39H3S7_IPR003571_1_412-475,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A210PIL5_IPR016054_1_31-126,Ly6,multimere,Mollusca (phylum),Bivalvia (class),Pectinida (order),95-117
A0A6P5LNB0_IPR016054_2_77-135,Ly6,mixture,Chordata (phylum),Mammalia (class),Diprotodontia (order),50-72
A0A9B0UC14_IPR016054_1_24-106,Ly6,monomere,Chordata (phylum),Mammalia (class),Afrosoricida (order),72-95
A0A9Q1BMX2_IPR016054_3_23-123,mixture,mixture,Echinodermata (phylum),Holothuroidea (class),Aspidochirotida (order),95-117
Cpun_3FTx-structure-like_fragment_0_OZ222546.1,3FTx,multimere,unknown,unknown,unknown,72-95
Lvar_3FTx_UPAR_like_OZ222622.1,manually_annotated,monomere,unknown,unknown,unknown,140-162
Sacu_3ftx_Quiver_UPAR-like_1_OX442314.1,Quiver,monomere,unknown,unknown,unknown,95-117
Rimm_3FTx-structure-like_22_JAHWFO010061155.1,manually_annotated,monomere,unknown,unknown,unknown,117-140
N0E484_IPR038773_1_3-64,none,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0AAV6ZWE6_IPR039237_1_5-95,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A1A8C6U9_IPR039457_1_3-156,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),140-162
A0A7K7MGB1_IPR039457_1_1-111,none,monomere,Chordata (phylum),Aves (class),Passeriformes (order),95-117
A0A8J9VF79_IPR039457_1_30-89,none,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),50-72
A0AAD8ZJU8_IPR039457_1_5-80,none,monomere,Chordata (phylum),Actinopteri (class),Gymnotiformes (order),72-95
A0AAV7UHH4_IPR039457_1_4-169,Ly6,monomere,Chordata (phylum),Amphibia (class),Caudata (order),162-185
A0A091GPN7_IPR045860_1_1-87,none,multimere,Chordata (phylum),Aves (class),Bucerotiformes (order),72-95
A0A0A1X3G2_IPR045860_1_37-135,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),95-117
A0A0D6LIU7_IPR045860_1_14-89,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0D9RA72_IPR016054_1_21-115,Ly6,monomere,Chordata (phylum),Mammalia (class),Primates (order),95-117
A0A0H4AC46_IPR045860_2_93-174,mostly_Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0A0K0FMR2_IPR045860_1_31-115,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A0L0CE12_IPR045860_1_6-67,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),50-72
A0A0N4VQ31_IPR045860_1_43-123,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
